id,severity,confidence,reproducibility,category,route,devpost_criterion,title,actual,recommended_correction,smallest_correction,acceptance_criteria,effort,score_leverage,related_source_issues
MB-031,P2,High (measured),Reproduced by multiple independent agents,Accessibility / visual,"/; / (dark sidebar); / and /session/<uuid> and /new; Global (sidebar, header caps, tables, evidence links); Multiple",Design,"Measured contrast failures beyond the Boundary payoff: dark sidebar labels 2.1–3.1:1, washed-out disabled CTAs, small-text cluster 3.6–4.5:1","'START WITH EVIDENCE' measures 3.07:1 ((92,92,99) on (5,5,6)); 'No account needed' 2.14:1 ((69,69,74) on same); main subtext passes at 4.87:1 but is borderline. || 'Start with evidence' label rgb(78,78,84) on rgb(5,5,6) = 2.47:1; 'No account needed' rgb(67,67,73) = 2.07:1 ('Explore' label same style). Nav links themselves pass (8.2-8.6:1) || Homepage disabled CTA measures 2.52:1 (text (36,44,62) on (87,104,145)); wizard disabled CTA is white text on very light blue; neither explains the gate (empty claim / missing notebook). || Measured: wizard stepper upcoming steps 3.71:1; textarea placehold…","Raise muted-label tokens to >=#8A8F98 equivalents on the dark sidebar. || Raise caption tokens to >= 4.5:1 (e.g. #a8a8b0 range) || Darken disabled tokens to ~3:1 minimum and add inline gate reasons ('Enter a claim to continue', 'Upload a notebook first'). || Audit the muted token scale; raise to >= 4.5:1 for informational text; use > 3:1 only for truly decorative/disabled content || Raise secondary text floor to 14px (labels 12px caps acceptable if letter-spaced and non-essential).",Lighten the two label classes to meet 4.5:1. || Token value change || Add a one-line reason under disabled CTAs on gated steps. || Adjust 2-3 color tokens || Bump small-text utility classes from 13px to 14px.,All sidebar text measures >=4.5:1. || ['All sidebar text >= 4.5:1'] || Every gated CTA states its gate; disabled text >=3:1. || ['No informational text < 4.5:1'] || Computed sizes: body/control text >=14px at 375px.,XS,Medium,A6-04 A8-08 A6-09 A8-10 A7-16
MB-032,P2,Medium-High (geometry measured; mobile reflow unverifiable),Reproduced by multiple independent agents,Responsive,"/; /proof/<uuid>; /proof/<uuid> ('See the verified notebook change' details) and Evidence drawer Diff tab; /session/<uuid> step 4 (Test/Boundary, Experiment Theater) and equivalent replay step; /sessi",Design,"Mobile-readiness unproven and at-risk: ≥1220 px header+stepper, ~995 px 7-column verified-runs table, 1015 px Reasoning-Diff table, 191–233 px fixed chrome, sub-44 px target cluster, selects truncating values at 1920 px — no mobile affordance observed (viewport testing blocked by tooling; structural inference)","Header is a single fixed row requiring >=~1220px (logo ~235px, 6-step pill stepper 685px wide with ~40px-tall step buttons, right-side caps-text actions ~230px). No hamburger, overflow menu, or collapse affordance observed at desktop width on any route. Stepper step buttons are ~40px tall (<44px). || 7-column table ~995px wide with ~13-14px cell text, rendered inside a <details> inside the Theater panel which has its own inner vertical scrollbar. 995px is 2.6x a 375px phone. || 3-column table ~1015px; on a 375px phone the Before/After columns get ~150-160px each, producing very tall wrapped ce…","Below ~1024px replace the stepper pill with a compact progress indicator ('Step 2 of 6 - Prediction') + overflow menu; move mode/status actions into it. || Wrap the table in an overflow-x:auto region with scroll shadows + a visible hint, and/or render each run as a stacked card below 640px. || Below 640px, render Dimension as a heading with Before and After as stacked labeled blocks. || On short viewports (<700px height) make the Next bar non-sticky and collapse the bottom bar to a floating acti…","Make the stepper horizontally scrollable (overflow-x:auto) and hide the right-side caps actions behind one icon button below 768px. || Add 'overflow-x:auto; -webkit-overflow-scrolling:touch' on the table wrapper and min-width on the table. || CSS: table, tbody, tr, td { display:block; width:100% } below 640px with Before/After labels via ::before. || Media query (max-height:700px): position:static…",At 360x640 and 375x667: no horizontal page scroll; all 6 steps reachable; current step identifiable; header <=64px tall. || At 375px: no page-level h-scroll; all 7 columns reachable via contained horizontal scroll or stacking; no double nested vertical scrollbars on one screen. || At 375px: no h-scroll; before and after texts fully readable as stacked blocks. || At 375x667 fixed chrome <=140px (~21%); at 568px height <=25%. || All interactive ele…,S,Medium,A7-01 A7-02 A7-07 A7-06 A7-05 A7-04 A7-03 A7-08
MB-033,P2,Medium-High (element list; association unverifiable black-box),Reproduced by multiple independent agents,Accessibility,"/; /session (all steps), /replay/<bad-id>, global toasts; /session - palette + Studio drawer + Evidence drawer; /session/<uuid> - Studio drawer ('Project & evidence'); All (/, /judge, /new, /session/<",Design,Accessibility barriers: no skip link on any route; homepage claim textarea nameless (placeholder-only); homepage upload keyboard-inaccessible; live-region announcements unverified; identical <title> on all routes,"First focusable elements are header/sidebar controls (logo 'C', New question, nav buttons); on wizard steps the learner tabs through logo, stepper buttons (Question..Boundary), Start over, Project & evidence, hint disclosure before reaching the step's content; no skip link observed on any route || Textarea exposes an empty accessible name; the only cue is placeholder text ('State a claim you want to test...' / 'What claim should this notebook help test?'), which also fails contrast at 3.59:1 and disappears on input. Note: wizard step 1 textarea has visible label 'Your claim' - homepage is inco…",Add skip link targeting <main id=main>; consider making the stepper one composite control || Add a visible or visually-hidden <label for> (e.g. 'Your question or claim') to the homepage composer || Use the wizard's native visible file input (or a real <button> triggering the picker) on the homepage composer || Add a single polite live region for selection echoes/counters; role=alert for verdicts and toasts; announce route/step changes via heading focus or live region || Set document.title per ro…,One <a href='#main' class='skip-link'>Skip to content</a> + id on main || One aria-label on the textarea || Replace hidden-input pattern with the same native input used in the wizard || role='status' on the selection-echo + verdict containers; role='alert' on toast || Router-level title map || Two aria-labels / one aria-hidden || Verify/implement focus trap + return on the two modal overlays,"['Skip link appears on first Tab on every route and moves focus to main content'] || ['Textarea accessible name non-empty and meaningful'] || ['File upload reachable and operable by keyboard alone on /'] || ['SR announces transfer verdict and selection echo without manual navigation', 'Toast announced on appearance'] || ['Distinct titles per route'] || ['No empty-name buttons in drawer'] || ['Keyboard-only user can open, operate, close each overl…",XS,Medium,A8-05 A8-06 A8-07 A8-14 A8-12 A8-04 A8-15
MB-034,P2,Medium-High,Always (first load of /new),Reliability,/new; /session/<id> (Boundary save; Apply transfer check),Technological Implementation,/new readiness checks render pre-passed instantly with no observable probe ('ready' vs health endpoint's 'configured'); transient 'could not reach the API' save failures (retry succeeds),"On first load, both 'Notebook lesson tools are ready to try' and 'Hosted notebook runner is ready' are already displayed with no pending/spinner state and no observable verification; /api/health separately reports the live components only as 'configured' (not 'available'). || User-visible failure requiring manual retry; error text itself is generic and leaks nothing (positive)","Run real probes (e.g. against /api/health components) with pending/pass/fail states, and surface 'configured vs available' honestly. || Add idempotent retry with backoff and a saving indicator",Change copy to 'Live mode is configured for this deployment' instead of implying a completed device check. || One automatic retry before surfacing the error,The panel shows a pending state and resolves to a real probe result; a failed dependency shows a visible failure with guidance. || Transient single failures self-recover without user action,Small-Medium.,Medium.,A9-05 A12-09
MB-035,P2,High,Always,Security surface,"/new, /session/<id> (claim, mental-model), /proof/<id> (bundle); /session/<id> claim textarea; Apply-step revision textarea",Technological Implementation,"Learner text stored verbatim, unbounded (no length cap found), and embedded into HMAC-signed proof bundles — single-layer escaping defence; latent stored-XSS if any render path changes",Text stored and signed verbatim; safety relies entirely on client-side escaping (which currently works on all observed surfaces); repaired notebook correctly excludes learner text || Both submissions accepted and stored; no maxlength or server rejection observed; character counter displays but does not limit,"Enforce server-side length cap (e.g. 1000 chars) and control-character rejection; keep raw storage but hash-or-flag learner text in bundles; add a bundle field distinguishing 'learner-supplied, unverified' content || Set maxlength (e.g. 1000) in UI and enforce server-side with a clear error",Add maxlength + server-side length validation on claim and revision fields || maxlength attribute + server-side length check,Claims >cap rejected with a clear error; bundle marks learner text as unverified input; no render path uses innerHTML for learner text || Over-cap submissions rejected with actionable message,S,Medium — cheap hardening that directly strengthens the integrity story,A12-02 A12-06
MB-036,P2,high,Reproduced by multiple independent agents,Judge experience / proof credibility,"/judge (Reproduce locally section); /proof/<uuid> downloaded capsule (integrity block); /proof/<uuid>, /judge",Technological Implementation,Judge-visible sceptic bait: orphan './scripts/*' reproduce commands with no repo link; HMAC signature not judge-verifiable (no public verifier); 'Proof' overclaims vs independent attestation,"Commands presented as bare code lines with no resolvable source; a judge cannot run or even read them || Only internal consistency (hash chain) is checkable; the signature's authenticity is unverifiable without server cooperation. Mitigation present: capsule limitations already concede 'Docker enforcement is evidence for this local run, not a formal sandbox proof' || The capsule's integrity rests on an HMAC whose key independence is not established anywhere public; externalVerifier.status VERIFIED is self-reported inside the same bundle; /judge lists reproduce scripts but they are not fetchabl…","Link the repository (or judge-shared access note) directly beneath the commands; mirror the README's setup section || Ship a /verify endpoint (or signed-by-publishable-key scheme) and link it from the capsule and /judge || Publish a verifier: capsule JSON schema + verifier id/hash + one public 'verify this capsule' endpoint or a single command in the repo; state key custody; soften surface language to 'signed, reproducible evidence record' wherever full independent verification is not yet offere…","One line: 'Code and these scripts: see the Devpost submission repository (shared with testing@devpost.com)' || One limitation line: 'The HMAC signature attests server-side integrity; independent verification requires the repository verifier' || Add to /judge: the capsule schema, the HMAC key-custody statement, and the exact command that recomputes result_hash from the published sample artifact; re…","Every command block on /judge is reachable-context: repo link or explicit pointer; no orphan commands || A judge can verify a downloaded capsule without private keys, or the limitation is explicitly stated wherever the signature is mentioned || ['A third party can recompute and match at least result_hash for the public sample using published artifacts', ""Every surface using the word 'proof' carries the scoped-verification clause"", 'Verifier id an…",XS,medium-high for Technological Implementation; trivial cost,A3-05 A3-11 A15-04 A9-08
MB-037,P2,high,Reproduced by multiple independent agents,Novelty positioning,"/, /judge, Devpost text; /judge; /session/<uuid>, /replay/leakage-01, /judge; n/a (external: openai.devpost.com/project-gallery)",Quality of the Idea,Category framing gaps vs prior art: no framing against leakage linters (NBLyzer/sklearn-diagnose) and Socratic incumbents (Study Mode/Khanmigo); subject matter mirrors Kaggle's canonical leakage lesson; single legacy v1 replay,"The only category phrase is the CI metaphor (zero public search presence — ownable but unexplained, and it puns on 'CI for ML' tooling like CML, which technical judges may read first). Meanwhile Google's NotebookLM was renamed 'Gemini Notebook' on 2026-07-16 and gained code execution — the noun 'notebook' + learning + AI is increasingly crowded, diluting CounterLab's surface vocabulary. || No such framing found on public surfaces. Overlap is real: sklearn-diagnose covers the same two pathologies with an LLM chatbot; NBLyzer statically finds leakage in notebooks. The differentiator is the pedag…","Adopt a plain-language category on all surfaces: 'evidence-first learning' (or 'evidence-first tutoring'); retain 'CI for understanding' as a subtitle for developer audiences || Add a 'Not a linter' block: name the three tools, state the loop they don't have (sealed prediction -> computed boundary -> transfer gate -> repair unlock -> signed Reasoning Diff) || Expose the class-imbalance pack publicly (sample + replay), and add a line distinguishing CounterLab from content lessons: 'Kaggle teaches…","Add a one-line gloss under the tagline: 'CounterLab is evidence-first learning: your claim, your sealed prediction, a recomputed answer, a signed record.' || One sentence on /judge: 'Leakage linters (NBLyzer, LeakageDetector, sklearn-diagnose) tell you the answer; CounterLab makes you predict it, then proves what changed in your reasoning.' || Publish the imbalance replay (id discoverable from /ju…","['Category phrase a non-developer can repeat appears on / and /judge', 'Tagline + category + invariant are consistent across home, /judge, and Devpost text'] || ['Named dev-tool contrast present on /judge', 'Statement identifies the learning artifact (Reasoning Diff) as the differentiator'] || ['Two subject packs publicly walkable', 'Each pack has sample + replay evidence', 'Contrast vs content-lesson format stated on /judge'] || ['Lead copy on a…",S,medium-high,A15-05 A15-06 A15-07 A15-10
MB-038,P2,High,Always,Epistemic trust,/api/replays/leakage-01 (compilerTrace) vs /replay/leakage-01 UI and /judge; /session/<id> full loop,Technological Implementation,Always-positive funnel: no system-initiated refusal/inconclusive verdict ever observed on claims; nonsense/contradictory claims are framed and 'verified'; transfer gate brute-forceable by retry,"The only gates are: confirm pre-written framing (one click), lock a prediction (no wrong answer — even 'I am unsure' proceeds), and a 2×2 multiple-choice transfer with instant feedback and unlimited retries. Every persistent user reaches 'VERIFIED patch + signed Proof Capsule'. The sole negative terminal state requires voluntarily choosing 'Not enough evidence'/'Reject' — which bricks the session (A10-06). Wrong predictions are falsified by the result (good), but the flow proceeds identically regardless. || compilerTrace records: generate COMPLETED → external_verifier REJECTED (candidate_execu…","Make at least one gate discriminating (e.g., limited transfer attempts with a meaningful 'not yet' state that teaches, or a claim-sufficiency check on entry). || Add a 'verification history' panel to the replay showing all six trace stages, counterexamples, and the PARTIAL isolation caveat.",Cap transfer retries and add a reflective 'why was this wrong' step before retry. || Link 'View the full compiler trace (JSON)' from the replay proof panel.,A disengaged user cannot reach a verified capsule by clicking through. || Rejected stages and isolation limitation visible in UI.,S-M,Medium (converts a hidden asset into visible trust),A10-14 A10-07
MB-039,P2,high on the rule; medium on the risk (depends on team's reading),rule reproducible from FAQ; team behaviour unverifiable,Submission evidence,"/judge, /; Devpost submission form + README + video",Technological Implementation,"Missing Codex build provenance anywhere in product: no /feedback Session ID pointer, no README/repo link, no 'built with Codex' evidence reachable from the app or /judge","In-product Codex claims exist ('Runtime Codex compiles the test plan') but zero build-time provenance || Unverified — cannot see form, README, or video","Add a 'Submission evidence' block to /judge: Session ID, video, repo/README links || Document BOTH roles explicitly: 'Built with Codex (Session ID ..., see README build log)' AND 'Codex also runs inside the product compiling bounded test plans'","One footer line on /judge: 'Built with Codex — Session ID, video and repo: see the Devpost submission' || One README paragraph separating the two roles + Session ID in the form",/judge contains resolvable pointers to all three required provenance artifacts || README and video each contain an unambiguous statement of build-time Codex use; Session ID present in form,S,high — protects the first-listed (tiebreak) criterion,A3-09 A14-04
MB-040,P3,high,Reproduced by multiple independent agents,Visual polish,/; /session/<uuid> (steps 1-2 and others); /session/<uuid> (steps 1-3 observed; likely all); /session/<uuid> step 1 ('Use a different notebook'); /session/<uuid> step 2 (Prediction) evidence excerpts;,Design,Cosmetic chrome: 'Next:' bar ~4–6 px card tuck; Theater tab row ~1040 px; code line clipped mid-token at 1920 px; native file input styling; truncated clause selects; transient H1 focus ring,"The cards are tucked ~30px underneath the Next bar (negative-margin stacking): the left card's title 'Uploaded notebook evidence' is half-clipped behind the bar; the right card's top corner/border is hidden. Repeats on steps 1-3. || ~1040px tab row; each tab carries a title + sub-label, so compressing to ~90px per tab at 375px would crowd badly unless sub-labels are dropped. || Line is cut mid-token ('impor') flush at the card's right edge at full desktop width. || Browser-default gray 'Choose File' button and 'No file chosen' text sit inside an otherwise fully custom card. || Three narrow sel…","Remove the negative margin / give the card grid its own top spacing so all card chrome is visible. || Below 640px show titles only and allow horizontal scroll of the tab strip. || Add text-overflow:ellipsis or soft-wrap excerpt lines; cap line count instead of clipping. || Style the upload as a dropzone/button consistent with the design system. || Replace native selects with custom wrapping option cards, or stack the three clauses vertically at readable width. || Use focus-visible semantics so p…","Add margin-top equal to the overlap to the card row, or set the Next bar position static in flow. || Hide tab sub-labels under 640px; overflow-x:auto on the strip. || CSS text-overflow:ellipsis on excerpt lines. || Visually hide the native input and trigger it from a styled button with chosen-file name display. || Widen columns to two-row layout so selects fit ~30 characters. || Remove tabindex/fo…","No card content or border is obscured at 100% zoom on any wizard step. || At 375px all 4 tabs reachable, labels readable, no page h-scroll. || No mid-token clipping at 1920 or 375px; truncation always marked with ellipsis. || No browser-default chrome visible in the upload area. || Full clause text visible in each control after selection. || No outline on the H1 at first paint in a real browser. || No overlap at any scroll position at 1920 and 37…",XS,medium,A6-05 A7-09 A7-10 A6-10 A6-11 A6-18 A7-11 A2-18 A7-15
MB-041,P3,Medium-High,Reproduced by multiple independent agents,Copy polish,/proof/<id> (Evidence & proof → Provenance); /replay/leakage-01; Studio drawer ('Project & evidence'),Design,"Replay/Studio micro-copy: 'has now run' vs recorded banner; identical session names, 3-entry cap; provenance labels static post-completion",Present-perfect 'has now run' sits under a banner stating nothing is running. || The Reject-bricked session is labelled 'BELIEF TEST PROPOSED' (its state before rejection) yet opens a dead 'Result withheld' page; every entry is named 'customer_churn_leakage.ipynb' with no timestamp/claim; list caps at 3 (an older completed session is unreachable from the drawer) || Labels read 'Boundary: Locked until verification' and 'Capsule: Issued after verified repair' even though verification and verified repair have completed — reading as if the boundary is still locked and the capsule only conditionall…,"Mode-aware copy for replay. || Label from current state, show claim snippet + relative time, paginate the list, mark closed sessions || Bind both labels to session state; show the issued capsule's bundleId.","Change to past tense in replay mode. || Use current state for the label and append a short session id/time to each row || After verified repair, switch the two lines to past tense with ids.",No present-tense execution claims in replay mode. || Drawer statuses match the destination page state for every entry || Post-completion Provenance shows verified boundary + issued capsule id.,XS,Small consistency win in the only populated drawer tab.,A2-16 A4-08 A1-13
MB-042,P3,High,Always,Security hygiene,"/api/health; /api/replays/leakage-01, /judge, /replay/leakage-01, proof bundle versions block",Technological Implementation,"Information disclosure (low risk, partly intentional transparency): /api/health exposes component provisioning; model/tool versions (gpt-5.6-sol, codex-cli 0.144.4, kernel 0.1.0) and commit hashes in every bundle","{""ok"":true,""data"":{""platform"":""cloudflare-workers"",""sample"":""available"",""replay"":""available"",""liveGpt"":""configured"",""liveCodex"":""configured"",""liveKernel"":""configured"",""sandbox"":""configured"",""requestId"":""a1d791636d7afd02""}} || modelId gpt-5.6-sol, codex-cli 0.144.4, repositoryCommitAtRun 4f2f6472..., templateCommit 1050fa76..., kernel 0.1.0, verifier leakage-verifier-v1, internal paths (replays/leakage-01/patch/...), plus generationIsolation PARTIAL admission",Public health returns {ok:true} (+requestId); move capability status to an authenticated ops route || Keep provenance in the replay dossier; consider trimming per-session bundle versions to kernel/verifier only,Remove the *configured fields from the public payload || None required — document the choice,Public /api/health exposes no configuration state || Disclosure policy documented; no credentials or hostnames leak (none observed),S,Low,A12-03 A12-04
MB-043,P3,High,Always,Cross-validation record,"All API responses, event chain, proof bundle createdAt, /judge replay card",Technological Implementation,"Claimed 2026 future-dated timestamps in signed bundles — REJECTED on cross-validation: bundle timestamps (2026-07-18/14) verified accurate against host UTC; audit clock is 2026-07-19 (kept for transparency, severity: none)",REJECTED on double cross-validation (A1 host-UTC check + A16 host UTC 2026-07-19T07:08Z): bundle event timestamps 2026-07-18 are consistent with the audit clock; fixture recordedAt 2026-07-14 is earlier by design. No defect.,Use real wall-clock for live sessions; label fixture/replay timestamps as recorded-at-original-run,Add 'simulated demo clock' note in bundle limitations,Live session timestamps match real time within seconds; replay dates clearly labelled historical,S,Low-Medium — cheap fix that protects the core proof claim,A12-05
MB-044,P3,Medium (geometry measured; stacking conventional but unverifiable),Reproduced by multiple independent agents,Visual / responsive polish,"/ (sidebar); /judge; /proof/<uuid>, /replay/<id>, wizard step 1; /session/<uuid> step 1 (claim textarea); step 4 Apply free-write",Design,Judge-page micro: 4-col grid + 505 px hero card; 'How proof works' one-sentence anchor; unbreakable hashes/filenames; textarea keyboard-overlap risk (mobile-inferred),4-col and 3-col grids plus a 505px fixed-looking hero card at desktop; no responsive behaviour verifiable. || Anchor scroll to one sentence already on screen || All fit at 1920; nothing observed that guarantees wrapping at 320-390px. || Could not test. Desktop shows textarea positioned mid-page between an 80px sticky header and 53px fixed bottom bar - the conditions for keyboard squeeze.,"grid-template-columns: repeat(auto-fit,minmax(260px,1fr)) and max-width:100% on the hero card. || Link to a real method page or the /judge authorities + claims sections || Add overflow-wrap:anywhere (or break-all for hashes) + truncated middle display with copy button. || Test on a real device; if squeezed, scroll focused field into view and unstick bars when keyboard is open (visualViewport API).","Same as above - single CSS change if grids are already utility-based. || Point the link at /judge#generated-vs-computed || CSS: code, .hash { overflow-wrap:anywhere }. || On focus of textarea, window.scrollTo field top + 100px.",At 375px: hero card <=100% width; authorities <=2 columns; no h-scroll. || The link navigates to substantive proof-method content || At 320px: no h-scroll on /proof and /replay; full hash still copyable. || On iPhone Safari 375x667: textarea and its label remain visible with keyboard open.,S,Medium (judge-facing).,A7-12 A3-08 A7-13 A7-14
MB-045,P3,Low (unverified),Reproduced by multiple independent agents,Accessibility polish,"/ composer; /session step 1 (claim), step 2 (prediction radios), step 5 (transfer); /proof/<uuid> (unified diff), palette (command list), judge (code block); /session - palette; /session chrome, Studi",Design,"A11y polish: weak control names ('C','NB','0 events Open'); scrollable diff/palette regions possibly not keyboard-scrollable; single-letter accelerators (2.1.4) unverified; disabled-gating not programmatically indicated","Header logo button name is just 'C'; notebook card button in Studio drawer is 'NB'; evidence drawer trigger name mashes state and action ('0 events Open'); palette search input's label text is the search glyph plus 'Esc' hint, so its name may announce as 'Esc' rather than its purpose || Unified diff renders in a fixed-height region with its own scrollbar (palette list similar); whether the container is focusable is unverifiable black-box; mouse wheel works || Commands display single-letter accelerators; typing in the palette search filters (observed typing 'proof' filters, does not trigger com…","Set explicit accessible names; keep state ('0 events') as separate described-by text; give palette input aria-label='Search commands' || tabindex=0 + aria-label on scroll regions, or expand diff fully || Scope letter shortcuts to palette-open state only (likely already the case); document or allow disabling || Keep CTA focusable with aria-disabled='true' + short reason ('Enter a claim to continue'), or mark inputs required and validate on submit with an error summary",4 aria-labels || Add tabindex='0' role='region' aria-label='Notebook diff' to the scroll container || Confirm scoping; add note in palette footer || Add aria-required to the claim textarea and a one-line instruction near each disabled CTA,"['All chrome controls have purpose-names'] || ['Diff region focusable and scrollable by keyboard'] || ['Letters never trigger actions while typing in any field'] || ['Required fields programmatically indicated', 'Blocking reason available to AT before submit']",XS,Low,A8-13 A8-16 A8-17 A8-11
MB-046,P3,Low (single observation),Reproduced by multiple independent agents,Anomalies,/ and /session/<uuid> claim fields; /new; Multiple,Design,"One-off unverified anomalies: single misroute of 'Use the sample lesson' into live flow (once, not reproduced); judge caption 4.18:1; diff cells 4.46:1",Once (of three tries) the page entered 'Live generation / Preparing artifact…' with 0 characters (claim discarded); two other times it correctly created an Instant sample session with the claim || Measured: wizard stepper upcoming steps 3.71:1; textarea placeholder 3.59:1; palette command descriptions 3.59:1; palette unavailable commands ~1.4-3.1:1 (dimmed; partially exempt as inactive); 'VERIFIED SAMPLE BOUNDARY' teal caps 4.48:1 (borderline); '389 shared customers' on judge dark card 4.18:1; reasoning-diff table cell text 4.46:1; 'How proof works' footer paragraph dips to 3.65:1; disabled CT…,Make mode selection explicit and atomic; disable CTAs during transitions || Audit the muted token scale; raise to >= 4.5:1 for informational text; use > 3:1 only for truly decorative/disabled content || Set and display a max length (e.g. 500 chars) with counter turn-warn states,Disable all three CTAs while any navigation/intake is in flight || Adjust 2-3 color tokens || Add maxlength + counter limit to the two claim textareas,100% of 'Use the sample lesson' clicks create Instant sample sessions with the claim preserved || ['No informational text < 4.5:1'] || Over-limit input is prevented or visibly truncated with a message,S,Low-medium,A4-09 A8-10 A4-10
MB-047,P3,high,Reproduced by multiple independent agents,Claim polish,"/, /judge; /judge hero vs /session/<uuid>, /replay/leakage-01; /proof/<uuid>, /judge",Quality of the Idea,Scope-clause travel: hero claims lack attached scope clause off-/judge; no calibration/outcome metric shown for sealed predictions,"The honest limits exist on /judge ('scoped verification — not global mastery') but the learner-facing hero and claim surfaces present the numbers and the science metaphor without the clause; an epistemically literate judge can frame the hero as a rigged-seed synthetic demo if the scope is one click away || Confidence is captured at seal time (slider, default 72%) but no calibration score appears in the Reasoning Diff; no aggregate learning-outcome statistic is public. Impact rests on the mechanism's plausibility, not measured effect. || The 20-second claim is true only of the static card; the …","Attach a one-line scope clause directly beneath every hero claim ('Computed by a pinned kernel on a reviewed subject pack — scoped verification, not global mastery') || Add per-session calibration (Brier-style or overconfidence delta) into the Reasoning Diff; later aggregate anonymised stats on /judge || Scope the claim and add honest duration chips on each evidence-mode card ('Sample ~8-10 min · Replay ~4 min · Live varies')",Add the clause as a sub-caption under the 98.5->59.4 comparison on /judge and under the home hero || Display 'You sealed 72% confidence; the computed result moved the metric 39.1 points — calibration note' line in the Reasoning Diff || Subhead: '…in twenty seconds on the card above — or run the ten-minute loop that proves it',"['Each surface with a strong claim shows the scope clause in the same viewport', 'No surface states or implies global/general proof'] || ['Reasoning Diff contains a calibration indicator derived from the sealed confidence', '/judge shows at least one aggregate learning statistic or a dated plan to measure'] || Duration expectations set on all three mode cards",XS,low-medium,A15-08 A15-09 A3-10
MB-C01,P0,high (requirement documented); unverified whether CounterLab has entered one,not reproducible externally — submission form requires entrant account,Submission compliance,Devpost 'Enter a Submission' form (openai.devpost.com),All four,Submission: /feedback Codex Session ID may be missing — required field; absence = incomplete submission (UNVERIFIED — submission page not public),Could not test — form is entrant-only; no public evidence a Session ID exists,Run /feedback in the primary Codex build thread now; paste ID into the form; reference the thread's role in the README,Paste the existing primary-thread Session ID into the form field,Submission form contains a Session ID generated from the thread where the majority of core functionality was built,S,high — gating artifact for the Codex-usage requirement,A14-01
MB-C02,P0,high (requirement documented verbatim); unverified whether CounterLab's video complies,not reproducible — video not yet public / not findable,Submission compliance,Submission form video field (public YouTube URL),All four,Submission: video must carry audible voiceover covering what was built + how Codex was used + how GPT-5.6 is used; music-only explicitly fails (UNVERIFIED — video not public),Could not test — no video found,Script the narration around the three mandated topics; show one Codex workflow moment on screen (optional 'strong signal'); keep <=2:50,Add an AI-narrated voiceover track covering the three topics to the existing cut,"Video is public, <=3:00, English (or translated), and a first-time viewer can point to the seconds where Codex use and GPT-5.6 use are each explained",M,high — the video is the default-path judging artifact,A14-02
MB-C03,P0,high (requirement documented); product compliance unverified (app unreachable),not reproducible — app fetch refused ('audit rejected') on all attempts,Submission compliance,https://counterlab.cserules.workers.dev/ + repo + README,All four,Submission: GPT-5.6 must be meaningfully in-product AND evidenced in video/repo/README; reachable app surfaces show templated framing only (partly verified in-app),Could not test — app refused all fetches; no public repo found via search,Surface the model identifier in the app footer or verdict metadata; pin exact model string in code; README section 'How GPT-5.6 is used',Add a README line naming the exact GPT-5.6 model string and where it is called,"A judge can find GPT-5.6 named in README, hear it in the video, and see it in code/config within 2 minutes",S,high — gating requirement,A14-03
MB-C04,P0,high on the rule; medium on the risk (depends on team's reading),rule reproducible from FAQ; team behaviour unverifiable,Submission compliance,Devpost submission form + README + video,All four,Submission: Codex-in-build (required) must not be conflated with Codex-in-product ('Runtime Codex'); both roles need documentation (UNVERIFIED),"Unverified — cannot see form, README, or video","Document BOTH roles explicitly: 'Built with Codex (Session ID ..., see README build log)' AND 'Codex also runs inside the product compiling bounded test plans'",One README paragraph separating the two roles + Session ID in the form,README and video each contain an unambiguous statement of build-time Codex use; Session ID present in form,S,high — protects the first-listed (tiebreak) criterion,A14-04
MB-C05,P0,high (requirement documented); repo state unverified (none found publicly),not reproducible — no CounterLab repo locatable via search as of 2026-07-19,Submission compliance,Repo URL submitted on the form,All four,Submission: repository must be public-with-license or shared with testing@devpost.com + build-week-event@openai.com; README with setup/sample-data/testing path (UNVERIFIED — no public repo found),Could not test — no public repo found,"Public repo + MIT/Apache LICENSE + README (setup, architecture, two sample notebooks for leakage/imbalance, judge quick-start pointing to /judge)",Share private repo with both official addresses and add a minimal run-me README,"Incognito browser opens the repo (or access confirmed for the two addresses); README contains setup, sample data, testing guidance",M,high — gate for any hands-on verification,A14-05
MB-C06,P0,high (requirement from template + FAQ); current uptime unknown (fetch layer refused the domain),not testable from this environment — all fetches to counterlab.cserules.workers.dev returned 'audit rejected',Submission compliance,https://counterlab.cserules.workers.dev/ and /judge,All four,"Submission: app must stay reachable, free, functional-as-depicted through judging end (~Aug 9–13, 2026) — includes fixing MB-002 live dead-end before any judge touches it",Could not test,Uptime monitoring + warm canned-demo path + freeze deploys after deadline except emergency fixes; health check from 3 regions daily until Aug 13,Add a status/health endpoint and an external uptime monitor with alerts,200 OK on / and /judge from 3 regions daily through Aug 13; canned demo completes <60 s,M,high — protects the entire hands-on path,A14-06
